Número,Título,Temas Relacionados,Textos Relacionados,Link do Vídeo,Texto Base,Categoria,Subcategoria,Autor da Letra,Autor da Música
273,A Escola Sabatina,Igreja e Comunhão | Oração e Comunhão | Palavra de Deus e Lei | Sábado e Criação,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 133:1; Hebreus 10:25 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=cgNzy67c04E,"Salmo 25:4, 5",A Doutrina da Igreja,Dons e Ministérios Espirituais,Desconhecido,Jean Jacques Rousseau
274,O Encontro,Adoração e Louvor | Igreja e Comunhão | Oração e Comunhão | Segunda Vinda e Esperança | Sábado e Criação,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=XdXaEhP6LjU,N/A,A Doutrina da Igreja,Dons e Ministérios Espirituais,Guilherme S. Andrade,Guilherme S. Andrade
275,Hino Dos Aventureiros,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 ; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=As-X-j6HRdE,Mateus 19:14,A Doutrina da Igreja,Dons e Ministérios Espirituais,Wanderson F. Paiva,Wanderson F. Paiva
276,Hino Dos Desbravadores,Crianças e Jovens | Graça e Salvação | Lar e Família | Palavra de Deus e Lei | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=0v1ihqB0gpI,"Mateus 28:19, 20",A Doutrina da Igreja,Dons e Ministérios Espirituais,Henry T. Bergh,Henry T. Bergh
277,Bem-aventurança,Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3,https://www.youtube.com/watch?v=r9KpN18SQDg,Apocalipse 1:3,A Doutrina da Igreja,O Dom de Profecia,Lineu Formighieri Soares,Lineu Formighieri Soares
278,A Voz de Deus,"Graça e Salvação | Lar e Família | Palavra de Deus e Lei | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=sXZgMQKfLfk,1 Coríntios 14:1,A Doutrina da Igreja,O Dom de Profecia,Wanderson F. Paiva,Wanderson F. Paiva
279,A Verdade Brilhará,"Espírito Santo | Graça e Salvação | Palavra de Deus e Lei | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=7XEXWM9JX0E,Apocalipse 19:10,A Doutrina da Igreja,O Dom de Profecia,Jader D. Santos,Jader D. Santos
280,O Espírito De Profecia,"Espírito Santo | Graça e Salvação | Lar e Família | Palavra de Deus e Lei | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=O4pIdHTqSlM,Amós 3:7,A Doutrina da Igreja,O Dom de Profecia,Rute de Matos Bazan,Rute de Matos Bazan
281,Filhos Da Promessa,Crianças e Jovens | Palavra de Deus e Lei | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=4B2i8A9v4qc,Apocalipse 12:17,A Doutrina da Igreja,O Dom de Profecia,Eddie Schultz Henrique,Eddie Schultz Henrique
282,Em Sua Presença,"Graça e Salvação | Missão e Serviço | Palavra de Deus e Lei | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=64erEGHX6tg,Apocalipse 2:10,A Doutrina da Vida Cristã,A Lei de Deus,Samuel Krähenbühl,Samuel Krähenbühl
283,Crer e Observar,"Lar e Família | Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=lXpmeNNeztI,"Mateus 7:24, 25",A Doutrina da Vida Cristã,A Lei de Deus,John H. Sammis,Daniel B. Towner
284,Obedecer É Melhor,Palavra de Deus e Lei,Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=UBzEdvwvAQY,1 Samuel 15:22,A Doutrina da Vida Cristã,A Lei de Deus,Franklin E. Belden,Franklin E. Belden
285,Eu Amo A Tua Lei,Adoração e Louvor | Missão e Serviço | Oração e Comunhão | Palavra de Deus e Lei | Sábado e Criação,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=qNqAq54JUxg,N/A,A Doutrina da Vida Cristã,A Lei de Deus,Sullivan Dutra,Sullivan Dutra
286,Tua Lei,Crianças e Jovens | Graça e Salvação | Lar e Família | Oração e Comunhão | Palavra de Deus e Lei,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=179Ih-iPnk0,Salmo 19:7,A Doutrina da Vida Cristã,A Lei de Deus,Jader D. Santos,Jader D. Santos
287,A Lei De Deus,Graça e Salvação | Lar e Família | Oração e Comunhão | Palavra de Deus e Lei | Santuário e Juízo,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Hebreus 4:14-16; Hebreus 8:1-2; Daniel 8:14 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7,https://www.youtube.com/watch?v=qkiZ-pjlcqs,Mateus 5:17,A Doutrina da Vida Cristã,A Lei de Deus,Mário Jorge Lima,Lineu Formighieri Soares
288,Fiel a Toda Prova,Graça e Salvação | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4,https://www.youtube.com/watch?v=ndQK0QjLHlU,N/A,A Doutrina da Vida Cristã,A Lei de Deus,Jader D. Santos,Jader D. Santos
289,A Tua Lei,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=DnJh2Iu9_4Y,Salmo 119:97,A Doutrina da Vida Cristã,A Lei de Deus,"Milton Mendes Andrade, Valdecir Simões Lima","Milton Mendes Andrade, Valdecir Simões Lima"
290,Do Santo Sábado És Senhor,Adoração e Louvor | Sábado e Criação,Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=EhZFepZ47yY,"Marcos 2:27, 28",A Doutrina da Vida Cristã,O Sábado,Douglas A. R. Aufranc,Douglas A. R. Aufranc
291,Sábado do Meu Senhor,Adoração e Louvor | Graça e Salvação | Lar e Família | Sábado e Criação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=rHs4oa1_D9Q,"Isaías 58:13, 14",A Doutrina da Vida Cristã,O Sábado,Desconhecido,William J. Kirkpatrick
292,Sábado,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sábado e Criação",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=_EJR05GlhLQ,"Gênesis 2:2, 3",A Doutrina da Vida Cristã,O Sábado,Eduard Eyth,U. B. Oyen
293,O Sábado Chegou,"Adoração e Louvor | Lar e Família | Paz, Cuidado e Confiança | Sábado e Criação",Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1 ; Gênesis 2:2-3,https://www.youtube.com/watch?v=V7Qx617dQQU,Êxodo 20:8-11,A Doutrina da Vida Cristã,O Sábado,Dario Pires de Araújo,William B. Bradbury
294,Lembre-se do Sábado,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sábado e Criação",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1 | -11; Gênesis 2:2-3,https://www.youtube.com/watch?v=5w3Xrdf5i_0,Êxodo 20:8,A Doutrina da Vida Cristã,O Sábado,Fanny J. Crosby,William B. Bradbury
295,Sábado Bendito,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Igreja e Comunhão | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Sábado e Criação",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=5BB1MAN3g1I,"Gênesis 2:2, 3",A Doutrina da Vida Cristã,O Sábado,Jader D. Santos,Jader D. Santos
296,Bem-vindo o Sábado,"Graça e Salvação | Lar e Família | Missão e Serviço | Paz, Cuidado e Confiança | Sábado e Criação",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=JGnzZ3eY5Xg,"Isaías 58:13, 14",A Doutrina da Vida Cristã,O Sábado,Seleção de John Dobell,Friedrich Schneider
297,Dia de Esperança,Adoração e Louvor | Graça e Salvação | Missão e Serviço | Oração e Comunhão | Palavra de Deus e Lei | Segunda Vinda e Esperança | Sábado e Criação,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=25cPKkUP8go,Isaías 63:23,A Doutrina da Vida Cristã,O Sábado,Jader D. Santos,Jader D. Santos
298,Deus Fez o Sábado Para Mim,"Lar e Família | Paz, Cuidado e Confiança | Sábado e Criação",Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=diMJD80zr30,"Marcos 2:27, 28",A Doutrina da Vida Cristã,O Sábado,Rute de Matos Bazan,Rute de Matos Bazan
299,Dia Santo,Adoração e Louvor | Graça e Salvação | Lar e Família | Missão e Serviço | Palavra de Deus e Lei | Segunda Vinda e Esperança | Sábado e Criação,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=2jlp0c_gOck,Ezequiel 20:12,A Doutrina da Vida Cristã,O Sábado,"Delmar Reis, Felipe Tonasso, Cleverson Pedro","Delmar Reis, Felipe Tonasso, Cleverson Pedro"
300,Tempo de Ser Santo,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=HZxnyB3lJ-k,2 Pedro 1:5-8,A Doutrina da Vida Cristã,Mordomia Cristã,William D. Longstaff,George C. Stebbins
301,"Toma, ó Deus, Meu Coração",Adoração e Louvor | Graça e Salvação | Igreja e Comunhão | Lar e Família | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=X6AAFwBkfEM,"Salmo 139:23, 24",A Doutrina da Vida Cristã,Mordomia Cristã,Frances R. Havergal,Henri A. C. Malan
302,Tudo Entregarei,"Adoração e Louvor | Paz, Cuidado e Confiança",Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=bzXmFmM4CTM,Salmo 116:12-14,A Doutrina da Vida Cristã,Mordomia Cristã,Judson Van DeVenter,Winfield S. Weeden
303,Minha Entrega,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6,https://www.youtube.com/watch?v=FlkCgkhQ5CI,Filipenses 4:13,A Doutrina da Vida Cristã,Mordomia Cristã,Adelaide A. Pollard,George C. Stebbins
304,"Que Te Darei, Meu Mestre?",Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=wAW5aQOksIg,"Salmo 116:12, 13",A Doutrina da Vida Cristã,Mordomia Cristã,Homer W. Grimes,Homer W. Grimes
305,Sobre o Altar,"Adoração e Louvor | Missão e Serviço | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=nYohbTMsyfo,Apocalipse 8:3,A Doutrina da Vida Cristã,Mordomia Cristã,Elisha A. Hoffman,Elisha A. Hoffman
306,Eis-nos Prontos,"Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=hwSVlpmYTWM,Lucas 22:39-46,A Doutrina da Vida Cristã,Mordomia Cristã,Earl B. Marlatt,Harry S. Mason
307,Conta as Bênçãos,Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22,https://www.youtube.com/watch?v=ai_AQ1CwA2A,Salmo 40:5,A Doutrina da Vida Cristã,Mordomia Cristã,Johnson Oatman Jr.,Edwin O. Excell
308,Faze Como Daniel,Missão e Serviço | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15,https://www.youtube.com/watch?v=lCz31f0wvvI,"Daniel 1:8, 9",A Doutrina da Vida Cristã,Mordomia Cristã,Philip P. Bliss,Philip P. Bliss
309,Em Tuas Mãos,Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9,https://www.youtube.com/watch?v=J-JW7ALhif8,Isaías 41:13,A Doutrina da Vida Cristã,Mordomia Cristã,Diane Ball,Diane Ball
310,Entrega,Graça e Salvação | Lar e Família | Missão e Serviço | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15,https://www.youtube.com/watch?v=vylQz82zkKE,Salmo 37:5,A Doutrina da Vida Cristã,Mordomia Cristã,Suzanne Hirle,Suzanne Hirle
311,Inteiramente Fiel,Crianças e Jovens,Mateus 19:14; Provérbios 22:6,https://www.youtube.com/watch?v=CVC5EOg8pCM,Apocalipse 2:10,A Doutrina da Vida Cristã,Mordomia Cristã,Evaldo Vicente,Evaldo Vicente
312,Nas Tuas Mãos,"Palavra de Deus e Lei | Paz, Cuidado e Confiança",Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=g9B7YsUgUNM,Mateus 11:28-30,A Doutrina da Vida Cristã,Mordomia Cristã,Guilherme Schlichting,Guilherme Schlichting
313,Tudo Para Deus,"Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=pI6-8Jet0YU,1 Crônicas 29:14,A Doutrina da Vida Cristã,Mordomia Cristã,Valdecir Simões Lima,Flavio Almeida Santos
314,Se Ele Não For O Primeiro,Crianças e Jovens | Missão e Serviço | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Mateus 19:14; Provérbios 22:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15,https://www.youtube.com/watch?v=TlArU2RQ2YY,Mateus 6:33,A Doutrina da Vida Cristã,Mordomia Cristã,Jader D. Santos,Jader D. Santos
315,A Cristo Eu Amo,"Missão e Serviço | Paz, Cuidado e Confiança | Sacrifício e Redenção",Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=jBfNNgtMVUA,1 João 4:14-16,A Doutrina da Vida Cristã,Conduta Cristã,Scott Lawrence,Scott Lawrence
316,Achei Um Grande Amigo,"Graça e Salvação | Igreja e Comunhão | Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 133:1; Hebreus 10:25 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=5RRcpOBlXeA,"João 15:14, 15",A Doutrina da Vida Cristã,Conduta Cristã,Charles W. Fry,Melodia Tradicional Inglesa
317,Amigo Mui Precioso,"Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=_8yIJOzF0rw,"João 15:14, 15",A Doutrina da Vida Cristã,Conduta Cristã,Mary A. Shorey,Hubert P. Main
318,Cantarei de Meu Jesus,Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=hrtXSRc5Ces,Efésios 2:4-7,A Doutrina da Vida Cristã,Conduta Cristã,Franklin E. Belden,Franklin E. Belden
319,Cristo é Tudo Para Mim,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=s99navSSdWM,"Filipenses 3:7, 8",A Doutrina da Vida Cristã,Conduta Cristã,Will L. Thompson,Will L. Thompson
320,"Eu Te Amo, Meu Mestre",Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Palavra de Deus e Lei | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=Wl9Xe0a1WRI,João 21:15,A Doutrina da Vida Cristã,Conduta Cristã,Christian Harmony,Melodia Tradicional Americana
321,Jesus é Melhor,"Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=4OR2dSNYuXk,"Filipenses 3:7, 8",A Doutrina da Vida Cristã,Conduta Cristã,Rhea F. Miller,George B. Shea
322,Jesus Me Guia,"Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=WmkAm7Eog80,Isaías 58:11,A Doutrina da Vida Cristã,Conduta Cristã,Joseph H. Gilmore,William B. Bradbury
323,Há um Amigo,"Crianças e Jovens | Graça e Salvação | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=ti8OJHZqvUs,Salmo 37:5,A Doutrina da Vida Cristã,Conduta Cristã,Fannie E. Stafford,Homer A. Rodeheaver
324,"Jesus, Teu Nome Satisfaz","Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=VyKaiFCoIXA,Filipenses 2:9-11,A Doutrina da Vida Cristã,Conduta Cristã,William C. Martin,Edmund S. Lorenz
325,Junto ao Bondoso Deus,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=v76WHJ132HI,"Isaías 26:3, 4",A Doutrina da Vida Cristã,Conduta Cristã,Cleland B. McAfee,Cleland B. McAfee
326,Manancial de Toda Bênção,Adoração e Louvor | Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=CsPuhdOn8ko,Tiago 1:17,A Doutrina da Vida Cristã,Conduta Cristã,Robert Robinson,Repository of Sacred Music – II
327,Não Há Amigo Igual A Cristo,"Adoração e Louvor | Paz, Cuidado e Confiança",Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=1ibGBe9svTw,João 15:15,A Doutrina da Vida Cristã,Conduta Cristã,Johnson Oatman Jr.,George C. Hugg
328,Meu Deus e Eu,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=AW5sH1Z4XYs,Gênesis 5:24,A Doutrina da Vida Cristã,Conduta Cristã,Austris A. Wihtol,Austris A. Wihtol
329,Não Há Nome Mais Amável,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=0SoM9vhYIwc,Salmo 113:1-3,A Doutrina da Vida Cristã,Conduta Cristã,Franklin E. Belden,Franklin E. Belden
330,O Melhor Amigo,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=mQblvleLL40,João 15:13,A Doutrina da Vida Cristã,Conduta Cristã,Peter P. Bilhorn,Peter P. Bilhorn
